help	बचाओ
jump	उछलो
jump	कूदो
jump	छलांग
hello	नमस्ते।
hello	नमस्कार।
cheers	वाहवाह
cheers	चियर्स
got it	समझे कि नहीं
im ok	मैं ठीक हूँ।
awesome	बहुत बढ़िया
come in	अंदर आ जाओ।
get out	बाहर निकल जाओ
go away	चले जाओ
goodbye	ख़ुदा हाफ़िज़।
perfect	उत्तम
perfect	सही
welcome	आपका स्वागत है।
welcome	स्वागतम्।
have fun	मज़े करना।
have fun	मौज करना।
have fun	मज़े करो।
i forgot	मैं भूल गया।
i forgot	मैं भूल गई।
ill pay	मैं पैसे दूंगा।
im fine	मैं ठीक हूँ।
im full	मेरा पेट भर गया है।
lets go	चलो चलें
answer me	मुझे जवाब दो।
birds fly	पंछी उड़ते हैं।
excuse me	माफ़ कीजिए।
fantastic	बहुत ख़ूब
i fainted	मैं बेहोश हो गया।
i fear so	खेद की बात है लेकिन वैसा ही है।
i laughed	मैं हँसा।
im bored	मैं बोर हो रहा हूँ।
im broke	मेरा दीवालिया हो चुका है।
im tired	मैं थक गया हूँ।
its cold	ठंड हो रही है।
well done	शाबाश
who knows	कौन जाने
who knows	किसको पता है
who knows	किसे पता है
who knows	किसे मालूम है
wonderful	अद्भुत
birds sing	पंछी गाते हैं।
come on in	अंदर आ जाओ।
definitely	निश्चित ही
dont move	हिलो मत।
fire burns	आग जलाती है।
follow him	उसका पीछा करो।
i am tired	मैं थक गया हूँ।
i can swim	मुझे तैरना आता है।
i can swim	मैं तैर सकता हूँ।
i love you	मैं तुमसे प्यार करती हूँ।
i love you	मैं तुमसे प्यार करता हूँ।
i love you	मैं आपसे प्यार करता हूँ।
i love you	मैं आपसे प्यार करती हूँ।
i love you	मुझे तुमसे प्यार है।
i will try	मैं कोशिश करूँगा।
im coming	मैं आ रहा हूँ।
im hungry	मुझे भूख लगी है
im hungry	मुझे भूख लगी है।
let him in	उसे अंदर भेजो।
let him in	उसे अंगर आने दो।
let me out	मुझे बाहर जाने दो
once again	और एक बार।
please sit	बैठिए।
that a boy	शाबाश
whats new	क्या नया है
whats new	नया क्या है
whos that	वह कौन है
dont shout	चिल्लाओ मत
dont shout	चिल्लाईए मत।
he stood up	वह खड़ा हो गया।
hes strong	वह ताकतवर है।
how are you	आप कैसे हैं
how are you	तुम कैसे हो
how are you	तुम कैसी हो
how are you	तू कैसा है
how are you	तू कैसी है
how are you	आप कैसी हैं
how are you	आप कैसे हो
i like both	मुझे दोनो पसंद हैं।
i like cake	मुझे केक अच्छा लगता है।
i like dogs	मुझे कुत्ते अच्छे लगते हैं।
i like math	मुझे गणित पसंद है।
ill attend	मैं आऊंगा।
nobody came	कोई नहीं आया।
was i wrong	क्या मैं ग़लत था
whats this	यह क्या है
are you sick	क्या तुम बीमार हो
bring him in	उसको अंदर ले आओ।
come with us	हमारे साथ आओ।
happy easter	एसटर मुबारक हो
has tom left	टॉम चला गया क्या
he is french	वह फ़्रानसीसी है।
i am at home	मैं घर पर हूँ।
i cant move	मैं हिल नहीं सकता।
i dont know	मुझे नहीं पता।
i dont know	मुझे नहीं मालूम।
i have a car	मेरे पास एक गाड़ी है।
i have a dog	मेरे पास एक कुत्ता है।
i understand	मैं समझता हूँ।
im a doctor	मैं डॉक्टर हूँ।
im starving	मैं भूख से मरा जा रहा हूँ।
it is a book	यह किताब है।
its snowing	बरफ़ गिर रही है।
its too big	बहुत ज़्यादा बड़ा है।
please leave	कृपया जाईये।
unbelievable	अविश्वसनीय
we are happy	हम खुश हैं।
what is this	यह क्या है
are you tired	थक गए हो क्या
can you drive	तुम गाड़ी चला सकते हो क्या
dont get fat	मोटे मत हो जाना।
dont give in	हार मत मान लो।
drink it down	पीकर खतम करदो।
everyone dies	मौत तो सभी की होती है।
flowers bloom	फूल खिलते हैं।
i am who i am	मैं हूँ जो हूँ।
ill take him	मैं उसे लेलूँगा।
im tired now	मैं अब थक गया हूँ।
im very busy	मैं बहुत व्यस्थ हूँ।
is that a cat	वह बिल्ली है क्या
its for free	यह मुफ़्त है।
its for free	यह मुफ़्त का है।
let me try it	मुझे दिखाओ।
let me try it	मुझे देखने दो।
let me try it	मुझे ट्राए करने दो।
make it quick	जल्दी कीजिए।
may i come in	मैं अंदर आ सकता हूँ क्या
open the door	दरवाज़ा खोलो।
open the door	दरवाज़ा खोलिए।
please get in	कृपया अंदर आईए।
read it again	इसे दोबारा पढ़ें।
read it aloud	पढ़के सुनाओ।
she bent down	वह नीचे झुकी।
some fish fly	कुछ मछलियाँ उड़ सकतीं हैं।
this is a map	यह नक्शा है।
tom is my son	टॉम मेरा लड़का है।
were in town	हम शहर में हैं।
were you shot	क्या तुम्हें गोली लग गई थी
what about us	हमारा क्या
can i help you	क्या मैं आपकी सहायता कर सकता हूँ
can i help you	क्या मैं आपकी मदद कर सकता हूँ
clean the room	कमरे को साफ़ करो।
dont touch it	उसे छूना मत।
get out of bed	बिस्तर से बाहर निकलो
happy new year	नव वर्ष की शुभकामनाएं
happy new year	नए साल की बधाईयाँ।
happy birthday	जन्मदिन मुबारक हो
he has a beard	उसके पास दाढ़ी है।
he is an actor	वह अभिनेता है।
he needs money	उसे पैसों की ज़रूरत है।
he was hard up	उसको पैसों की कमी थी।
i like history	मुझे इतिहास पसंद है।
i like the dog	मुझे यह कुत्ता अच्छा लगता है।
i must buy one	मुझे एक तो खरीदना ही होगा।
ill come back	मैं वापस आऊँगा।
ill phone you	मैं तुम्हें फ़ोन करूँगा।
ill stay home	मैं घर पर ही रहूँगा।
im an atheist	मैं अनीश्वरवादी हूँ।
im an atheist	मैं भगवान में यकीन नहीं करता।
im very tired	मैं बहुत थक गया हूँ।
its hot today	आज मौसम बहुत गरम है।
its this book	यह किताब है।
its your move	तुम्हारी चाल है।
only god knows	भगवान जाने।
summer is over	गर्मियाँ खतम हों चुकीं हैं।
take your time	आराम से आओ।
think about it	सोच लो।
this is a book	यह एक किताब है।
this is a book	यह किताब है।
this is my bag	यह मेरा बस्ता है।
this is my dog	यह मेरा कुत्ता है।
wash your feet	अपने पैर धोओ।
we study music	हम संगीत की पढ़ाई करते हैं।
well call you	हम आपको फ़ोन करेंगे।
well call you	हम आपको बुलाएँगे।
where were you	तुम कहाँ थे
where were you	आप कहाँ थे
you have to go	तुम्हें जाना होगा।
you look tired	तुम थकेहारे से लगते हो।
youre kidding	मज़ाक कर रहे हो
a man must work	एक आदमी के लिए काम करना ज़रूरी है।
are you at home	तुम घर पे हो क्या
are you guys ok	क्या आप लोग ठीक हो
come home early	जल्दी घर आजाओ।
come if you can	आ सको तो आना।
congratulations	बधाई हो
congratulations	मुबारक हो
did he go there	वह वहाँ गया क्या
did you miss me	मेरी याद आई क्या
dont be absurd	पागल मत बनो।
he came running	वह भागते हुए आया।
he cant be ill	वह बीमार नहीं हो सकता।
he has a hat on	उसने टोपी पहनी हुई है।
he reads arabic	वह अरबी पढ़ सकता है।
hes my husband	यह मेरा पति है।
how is everyone	सब लोग कैसे हैं
how is it going	कैसा चल रहा है
how old are you	तुम कितने साल के हो
how rude of you	कितने बदतमीज़ हो तुम
how rude of you	बदतमीज़
i cooked dinner	मैंने रात का खाना पकाया।
i feel nauseous	मुझे उल्टी आ रही है।
i go every year	मैं हर साल जाता हूँ।
i heard a noise	मुझे कोई आवाज़ सुनाई दी।
i like this one	मुझे यह वाला पसंद है।
i run every day	मैं रोज़ दौड़ने जाता हूँ।
i saw her again	मैंने उसे फिरसे देखा।
i want a guitar	मुझे गिटार चाहिए।
i was assaulted	मुझपर हमला किया गया।
im a good cook	मैं अच्छा रसोइया हूँ।
im a good cook	मैं अच्छा बावर्ची हूँ।
im lucky today	आज मेरा नसीब अच्छा है।
is anybody here	कोई है क्या
is it not black	क्या यह काला नहीं है
is there a cafe	यहाँ कैफ़े है क्या
lets fly kites	चलो पतंग उड़ाएँ
no i didnt go	नहीं मैं नहीं गया था।
nobodys around	आसपास कोई नहीं है।
now stop crying	बस अब रोना बंद करो।
open your mouth	अपना मूँह खोलो
please sit down	बैठिए।
she is a beauty	वह तो हसीना है।
she talks a lot	वह बहुत बोलती है।
she talks a lot	वह बहुत बकबक करती है।
that isnt fair	यह तो ठीक नहीं है।
thats my fault	वह मेरी गलती है।
the dog is mine	कुत्ता मेरा है।
the powers out	बिजली गई हुई है।
these are birds	ये चिड़ियाँ हैं।
this is for you	यह तुम्हारे लिए है।
we lack nothing	हमे किसी भी चीज़ की कमी नहीं है।
what time is it	अभी कितने बजे हैं
what time is it	अभी क्या समय हो रहा है
wheres my book	मेरी किताब कहाँ है
you startled me	तुमने मुझे डरा दिया
youre a person	तुम इनसान हो।
are you a doctor	आप डॉक्टर हैं क्या
can you teach me	क्या तुम मुझे सिखा सकते हो
climb to the top	ऊपर तक चढ़ जाओ।
come and join us	आओ हमारे साथ बैठो।
come sit with us	आओ हमारे साथ बैठो।
cut the potatoes	आलूओं को काटो।
do you have rice	तुम्हारे पास चावल है क्या
dont make faces	मूँह मत बनाओ।
dont make noise	शोर मत मचाओ।
have a good time	मज़े करो।
have a nice time	मज़े करो।
he has long legs	उसके पैर लम्बे हैं।
he is her friend	वह उसका दोस्त है।
he likes oranges	उसे संत्रे अच्छे लगते हैं।
he likes oranges	उसे नारंगी अच्छे लगते हैं।
he must love you	वह तुमसे प्यार करता होगा।
he speaks arabic	वह अरबी बोलता है।
here is your bag	यह लो तुम्हारा बस्ता।
i cant remember	मुझे याद नहीं।
i dont know him	मैं उसे नहीं जानता।
i have a problem	मैं मुश्किल में हूँ।
i have to go now	मुझे अभी जाना है।
i live near here	मैं आसपड़ोस में रहता हूँ।
i love my mother	मैं अपनी माँ से प्यार करता हूँ
i must leave now	मुझे अब जाना होगा।
im really tired	मैं बहुत थक गया हूँ।
im very thirsty	मुझे बहुत प्यास लगी है।
its april first	आज एक अप्रैल है।
its now my turn	अब मेरी बारी है।
let me try again	मै फिर से कोशिश करता हूँ।
nice to meet you	आपसे मिलकर खुशी हुई।
please follow me	मेरे साथ आईए।
please sign here	यहाँ अपना हस्ताक्षर कीजिए।
she betrayed you	उसने तुम्हें धोखा दिया।
sit down please	बैठिए।
the car is ready	गाड़ी तैयार है।
this is your dog	यह तुम्हारा कुत्ता है।
this is your key	यह आपकी चाबी है।
this isnt right	यह सही नहीं है।
tom is my friend	टॉम मेरा दोस्त है।
were going home	हम घर जा रहें हैं।
were in a hurry	हम जल्दी में हैं।
welcome to japan	जापान में आपका स्वागत है।
what is your age	तुम्हारी उम्र क्या है
whats that bird	वह कौनसी चिड़िया है
whats the story	क्या कहानी है
whats your name	आपका नाम क्या है
where did you go	तुम कहाँ गए थे
where is the bar	शराबख़ाना कहाँ है
whose turn is it	किसकी बारी है
you may be right	तुम शायद सही हो।
are your eyes bad	तुम्हारी आँखे खराब हैं क्या
birds build nests	पक्षी घोसले बनातें हैं।
birds build nests	चिड़ियाँ घोसले बनातीं हैं।
boys will be boys	लड़के तो लड़के ही रहेंगे।
can i do anything	मैं कुछ कर सकता हूँ क्या
